name,rating,rating_amt,open_hr,delivery_hr,price_scale,seat_amt,check_in,bookmarked,car_park,wi_fi,pet_allows,card_accept,delivery,for_kids,for_group,chang_khlan,chang_moi,chang_phueak,chom_thong,fa_ham,fang,hang_dong,huai_sai,huai_kaew,mae_hia,mae_rim,mae_taeng,mae_on,mueang_chiang_mai,nong_hoi,nong_pa_khrang,pa_daet,san_kamphaeng,san_klang,san_sai,saraphi,sri_phum,suthep,tha_sala,tha_wang_tan,ton_pao,chiang_mai_business_park,nimmanhaemin,san_pa_tong,charoenrat_rd,wiang_bua_rd,ratchaphruek_rd,prapokkloa_rd,rajavithi_rd,chotana_rd,sirimangkalachan_rd,bread,croissant,baguette,pastry,cake,cupcake,muffin,donut,cookie,brownie,pie,pretzel,scone,roll,bun,danish,tart,macaron,cinnamon_roll,cheesecake,biscuit,pain_au_chocolat,pita_bread,quiche,brioche,pita,delicious,fresh,fragrant,soft,inexpensive,good_atmosphere,good_service,affordable,good_quality,good_manner,warm,tasty,authentic,enjoyable,clean,attentive,lovely,beautiful,adorable,worth,recommended,reasonable_price,nice_looking,not_tasty,not_fresh,not_fragrant,tough,expensive,terrible_atmosphere,bad_service,bad_quality,dirty,inattentive,unlovely,ugly,not_cute,not_worth,not_recommend
GROON (GROON),4,67,08:30 - 17:00,08:30 - 17:00,2,40,0,0,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0.707106781,0,0,0,0,0,0,0,0,0.707106781,0,0,0,0,0,0,0,0,0,0,0,0,0,0.707106781,0,0,0,0,0,0,0,0,0,0,0,0,0,0.707106781,0,0,0,0,0,0,0,0,0,0,0,0.649583787,0.139196526,0.463988419,0.208794789,0,0.139196526,0.023199421,0,0,0,0.25519363,0,0,0,0,0.231994209,0.208794789,0.301592472,0,0.162395947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Khagee (ขจี),4,268,09:00 - 17:00,,2,40,148,2218,TRUE,TRUE,FALSE,FALSE,TRUE,,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.735804628,0.047471266,0.308563231,0.332298864,0,0.213620698,0.213620698,0,0.047471266,0.023735633,0.094942533,0.023735633,0.023735633,0.023735633,0.023735633,0.189885065,0.071206899,0.189885065,0,0.261091965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yelloo (เยลโล่),4.1,44,08:00 - 19:00,08:00 - 19:00,2,80,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.707106781,0,0,0,0,0.707106781,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.52615222,0.150329206,0.300658411,0.075164603,0,0.300658411,0.26307611,0,0,0.037582301,0.037582301,0,0,0.187911507,0,0.338240713,0.375823014,0.187911507,0,0.338240713,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037582301,0,0,0,0
Forest Bake (ฟอรเรสเบ้ก),3.9,131,09:00 - 17:00,09:00 - 17:00,2,40,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0.671913141,0.033595657,0.268765256,0.201573942,0.067191314,0.369552227,0.100786971,0,0,0,0.067191314,0,0,0.067191314,0,0.235169599,0.302360913,0.235169599,0,0.268765256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cheevit Cheeva (ชีวิต ชีวา),4.2,456,11:00 - 20:30,11:00 - 20:30,2,40,0,0,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0.577350269,0,0,0,0,0,0,0,0,0.577350269,0,0,0,0,0,0,0,0,0,0,0,0,0.577350269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.800416558,0.103279556,0.232379001,0.284018779,0.025819889,0.180739223,0.206559112,0,0.025819889,0.025819889,0,0,0,0.025819889,0.025819889,0.25819889,0.180739223,0.103279556,0,0.154919334,0,0,0,0.025819889,0,0,0,0,0,0,0,0,0,0.025819889,0,0,0,0
Claai Cafe'& Eatery คลายคาเฟ่ แอนด์ อีทเทอรี่,4.1,39,09:00 - 17:00,,2,N/A,22,295,TRUE,TRUE,,FALSE,,,,0,0,0,0,0,0,0,0,0.707106781,0,0,0,0.707106781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.410526405,0,0.153947402,0.051315801,0.051315801,0.718421208,0.205263202,0,0,0,0,0,0,0.0256579,0,0.128289501,0.179605302,0.256579003,0,0.359210604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Caramellow café (คาราเมลโล),4.1,91,09:00 - 19:00,,3,80,41,335,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0.707106781,0,0,0.707106781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0.5,0,0.58431704,0.194772347,0.272681285,0.077908939,0,0.467453632,0.311635755,0,0,0,0.116863408,0,0.038954469,0,0,0.233726816,0.272681285,0.155817877,0,0.233726816,0,0.038954469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Koff&things,4.2,18,08:00 - 17:00,08:00 - 16:30,1,40,0,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.707106781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.707106781,0,0,0,0,0,0,0.656610786,0.109435131,0.218870262,0.054717566,0.054717566,0.109435131,0.164152697,0,0.109435131,0,0.054717566,0,0,0.054717566,0,0.218870262,0.601893221,0.164152697,0,0.054717566,0,0.054717566,0,0,0,0,0,0,0,0,0,0,0,0.054717566,0,0,0,0
Memorize Brownie (เมมโมไรซ์ บราวนี่),4,124,10:00 - 22:30,10:00 - 22:30,1,40,0,0,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0.577350269,0,0,0,0,0,0,0,0,0.577350269,0,0,0,0,0.577350269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.707106781,0.707106781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.674368076,0.424602122,0.124882977,0.149859572,0.049953191,0.049953191,0.199812763,0,0.049953191,0,0.024976595,0,0,0.124882977,0.024976595,0.424602122,0.024976595,0.174836168,0.024976595,0.199812763,0,0,0.024976595,0,0,0,0,0,0,0,0,0,0,0.099906382,0,0,0,0
Tomato House.cnx,4.4,15,08:30 - 18:00,,2,40,7,45,TRUE,TRUE,,FALSE,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.246182982,0.246182982,0.184637236,0.123091491,0,0.184637236,0.184637236,0,0.061545745,0,0.061545745,0,0,0.123091491,0,0.492365964,0.6770032,0,0,0.184637236,0,0.061545745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
